Setor_Atividade,Dia_da_Semana,Temperatura_Media,Area_Metragem,Ocupantes_Ativos,Num_Extintores,Consumo_Energia
Comercial,Quarta,28.0,616.9,71.5,9.0,188.4
Industrial,Sexta,22.5,3504.2,165.4,15.0,703.69
Comercial,Sabado,33.8,184.1,48.1,1.0,169.82
Industrial,Quarta,22.5,2149.1,91.3,14.0,565.66
Residencial,Segunda,20.5,112.3,2.9,2.0,21.45
Comercial,Terca,28.9,567.7,53.4,,176.87
Industrial,Quarta,26.9,2656.3,24.6,7.0,571.37
Residencial,Segunda,23.7,115.8,4.3,11.0,27.89
Industrial,Quinta,33.7,3731.6,192.0,1.0,812.19
Comercial,Sabado,19.5,105.3,55.3,18.0,
Comercial,Quinta,16.4,754.1,34.6,,145.11
Industrial,Sexta,26.2,1655.5,71.3,7.0,563.84
Residencial,Quinta,22.2,145.4,4.9,6.0,27.6
Industrial,Terca,24.5,1048.5,52.6,14.0,508.61
Comercial,Segunda,31.3,174.8,49.7,6.0,150.14
Industrial,Quinta,37.1,2676.0,165.1,,744.17
Residencial,Sexta,36.9,144.2,5.3,18.0,48.17
Industrial,Sabado,20.2,1454.2,130.0,,555.19
Industrial,Sabado,33.0,1736.6,168.1,9.0,662.25
Industrial,Sabado,30.4,929.9,132.3,10.0,573.16
Residencial,Quarta,31.9,180.8,2.9,3.0,41.59
Comercial,Segunda,15.5,,52.5,11.0,146.97
Industrial,Quarta,28.7,2735.5,197.8,4.0,
Industrial,Quarta,31.0,2319.4,97.1,15.0,649.55
Industrial,Domingo,21.3,857.4,35.4,18.0,494.21
Residencial,Sabado,19.4,105.3,2.9,8.0,22.61
Comercial,Sexta,,660.2,26.4,11.0,131.03
Comercial,Sabado,35.2,555.6,47.3,,192.04
Comercial,Quarta,37.9,563.3,49.0,15.0,187.99
Comercial,Sabado,25.7,142.1,49.4,19.0,139.95
Comercial,Sexta,19.6,475.1,16.8,10.0,113.96
Residencial,Terca,32.4,108.7,4.7,16.0,38.49
Comercial,Sabado,37.8,748.9,47.8,17.0,201.16
Comercial,Sabado,27.0,536.5,16.2,15.0,
Industrial,Terca,33.0,3689.4,26.5,,657.65
Industrial,Sexta,21.1,2120.6,35.8,19.0,505.22
Comercial,Quinta,24.1,413.0,52.0,11.0,150.81
Industrial,Domingo,36.1,2736.3,198.6,17.0,768.08
Residencial,Quarta,23.8,182.9,5.5,,31.15
Comercial,Terca,33.2,313.3,15.7,9.0,144.11
Comercial,Domingo,23.0,782.9,54.9,17.0,161.59
Industrial,Sexta,18.0,4379.1,186.1,10.0,799.86
Industrial,Quarta,,2761.5,91.8,4.0,621.75
Comercial,Quinta,23.5,147.7,11.8,4.0,101.5
Comercial,Sabado,37.2,402.7,31.8,11.0,173.9
Residencial,Sexta,25.1,74.8,,5.0,28.31
Comercial,Domingo,18.5,142.9,64.7,10.0,143.98
Industrial,Terca,16.3,4976.9,30.4,14.0,660.78
Industrial,Segunda,30.9,780.3,111.7,20.0,567.68
Comercial,Sexta,33.7,530.7,31.4,13.0,153.98
Industrial,Sabado,18.0,4489.7,101.0,5.0,725.05
Industrial,Quarta,23.5,2363.6,169.0,15.0,649.45
Residencial,Domingo,15.4,96.4,5.0,4.0,21.97
Residencial,Sabado,27.3,90.1,2.0,6.0,
Comercial,Terca,,483.6,41.8,17.0,140.01
Residencial,Terca,17.3,128.4,,7.0,23.38
Residencial,Segunda,23.6,115.2,3.8,16.0,27.55
Residencial,Quinta,35.5,193.7,5.1,7.0,48.12
Industrial,Domingo,20.9,4283.9,26.9,18.0,670.54
Residencial,Quinta,25.6,149.2,4.6,18.0,32.77
Comercial,Sabado,16.5,462.9,20.5,15.0,125.15
Industrial,Terca,26.8,3561.0,27.5,3.0,617.21
Industrial,Sabado,16.6,554.5,192.2,15.0,
Comercial,Quinta,23.1,307.6,34.5,16.0,122.31
Comercial,Terca,,168.9,56.2,16.0,135.55
Residencial,Sabado,21.1,62.9,2.3,19.0,20.58
Industrial,Segunda,29.4,2218.7,57.0,3.0,580.06
Residencial,Domingo,29.1,168.4,4.6,11.0,37.02
Comercial,Terca,37.5,521.3,50.8,15.0,198.58
Residencial,Domingo,33.7,151.9,2.5,7.0,40.82
Industrial,Sexta,25.1,3258.2,189.8,6.0,687.17
Comercial,Segunda,17.8,238.2,72.1,13.0,153.45
Industrial,Terca,34.8,4309.3,185.4,6.0,813.31
Residencial,Quinta,32.4,124.5,5.4,15.0,41.96
Residencial,Domingo,19.1,136.3,5.9,19.0,27.47
Comercial,Sabado,16.0,,19.2,15.0,104.45
Industrial,Sexta,26.6,,151.9,,772.03
Industrial,Quarta,28.6,2787.6,73.6,12.0,645.53
Comercial,Sexta,29.6,632.8,21.2,10.0,153.13
Industrial,Sexta,15.2,1610.1,150.8,20.0,597.38
Comercial,Domingo,33.4,242.8,48.9,15.0,161.24
Industrial,Quinta,29.2,1346.1,84.0,,568.21
Residencial,Sabado,32.5,64.9,5.0,5.0,38.01
Comercial,Quinta,37.0,,32.9,4.0,172.87
Comercial,Domingo,37.9,357.8,41.4,15.0,176.71
Residencial,Domingo,35.4,143.0,3.6,9.0,43.06
Industrial,Quarta,33.3,918.5,125.9,10.0,625.99
Industrial,Quinta,29.8,791.8,124.4,12.0,613.86
Industrial,Terca,30.6,4122.5,68.6,17.0,729.53
Comercial,Quinta,26.5,153.9,14.1,7.0,114.82
Residencial,Sabado,33.1,132.4,3.8,4.0,42.49
Comercial,Terca,22.5,,16.2,5.0,119.86
Comercial,Quarta,38.0,753.2,55.0,9.0,213.63
Comercial,Sexta,29.6,650.0,18.3,9.0,148.27
Residencial,Terca,28.2,142.3,2.7,8.0,34.67
Residencial,Terca,22.7,63.7,2.1,17.0,21.0
Comercial,Sabado,21.9,758.5,28.2,9.0,133.03
Residencial,Sabado,35.1,177.9,2.7,16.0,44.1
Residencial,Segunda,18.1,71.3,4.9,10.0,20.55
Comercial,Quinta,25.0,610.7,63.6,4.0,165.31
Comercial,Sexta,32.3,559.9,77.0,2.0,202.31
Comercial,Quinta,16.3,297.5,28.3,6.0,116.72
Residencial,Terca,21.3,166.3,3.8,16.0,26.65
Comercial,Quinta,16.5,441.3,12.4,2.0,103.84
Industrial,Sabado,23.0,4549.3,23.9,14.0,668.87
Residencial,Domingo,37.2,138.4,5.7,2.0,
Industrial,Quinta,31.8,4915.8,66.2,13.0,735.88
Comercial,Segunda,19.6,495.7,42.5,19.0,1974.37
Comercial,Quarta,17.6,205.9,25.8,6.0,114.81
Comercial,Domingo,34.6,492.9,46.6,3.0,182.04
Comercial,Sexta,16.6,595.5,48.0,3.0,151.26
Industrial,Sabado,25.5,2681.1,49.8,19.0,599.14
Industrial,Domingo,25.6,2352.9,137.2,11.0,662.91
Industrial,Terca,16.4,2806.3,165.2,10.0,659.44
Comercial,Terca,18.8,331.2,63.0,11.0,143.44
Comercial,Quinta,19.7,714.5,71.6,18.0,171.49
Comercial,Segunda,37.7,640.4,11.9,2.0,160.73
Comercial,Quarta,25.7,736.5,47.7,10.0,167.57
Industrial,Sabado,33.9,,159.6,19.0,682.04
Comercial,Sabado,19.7,466.3,30.1,16.0,134.55
Residencial,Domingo,33.4,115.4,5.7,11.0,43.8
Comercial,Terca,18.6,587.1,65.5,7.0,1779.19
Industrial,Sexta,19.2,4523.0,137.8,4.0,727.47
Residencial,Quinta,25.1,146.1,2.3,18.0,28.82
Industrial,Sexta,37.2,2379.9,197.1,14.0,784.56
Industrial,Segunda,29.6,1246.8,178.7,9.0,666.22
Residencial,Sabado,31.5,184.6,2.3,15.0,43.45
Comercial,Terca,19.3,700.7,67.3,11.0,163.78
Comercial,Terca,25.8,675.1,42.1,8.0,164.27
Residencial,Quarta,26.4,176.0,3.3,4.0,33.87
Comercial,Quarta,17.3,267.9,19.9,8.0,111.11
Residencial,Quinta,25.4,164.8,4.6,13.0,32.98
Comercial,Quarta,25.8,785.4,54.4,3.0,171.93
Comercial,Quarta,,327.6,58.0,2.0,170.01
Comercial,Quarta,20.2,685.9,,13.0,136.82
Residencial,Quinta,31.0,131.8,3.2,5.0,38.23
Residencial,Sabado,35.0,167.2,5.2,14.0,47.27
Industrial,Segunda,21.0,4582.4,140.7,12.0,738.73
Comercial,Terca,25.6,705.2,48.3,8.0,159.88
Industrial,Segunda,37.5,998.2,96.1,2.0,610.31
Industrial,Segunda,21.4,4362.5,72.6,18.0,680.07
Residencial,Terca,32.3,172.7,2.1,19.0,39.62
Residencial,Domingo,34.1,99.4,5.5,3.0,43.91
Residencial,Sexta,31.2,135.7,2.4,6.0,37.48
Residencial,Terca,21.9,143.8,,7.0,24.52
Residencial,Quinta,32.1,66.7,5.6,17.0,39.05
Industrial,Segunda,35.5,1334.0,34.2,6.0,590.38
Industrial,Terca,33.3,656.0,124.9,20.0,590.46
Comercial,Sabado,16.5,682.0,51.9,3.0,161.04
Comercial,Domingo,17.2,736.7,56.8,17.0,163.2
Comercial,Terca,26.9,401.3,32.2,9.0,144.75
Industrial,Sexta,32.8,3208.7,180.7,9.0,795.71
Industrial,Sabado,28.6,3661.9,62.7,11.0,692.54
Residencial,Domingo,17.4,113.8,4.0,13.0,23.98
Residencial,Quarta,32.1,130.9,4.5,2.0,40.96
Residencial,Sexta,20.9,110.7,3.9,2.0,23.35
Residencial,Quarta,37.3,,3.9,5.0,45.43
Industrial,Sabado,29.0,1763.1,57.3,11.0,563.72
Comercial,Quinta,33.5,500.4,,7.0,172.26
Industrial,Terca,36.4,2286.6,35.7,13.0,609.0
Residencial,Sexta,26.7,182.4,4.0,14.0,33.55
Industrial,Domingo,37.8,1091.7,,8.0,557.31
Industrial,Terca,35.9,3713.1,,7.0,722.62
Residencial,Sabado,33.9,,5.3,1.0,46.1
Comercial,Domingo,20.9,141.7,52.3,14.0,129.49
Industrial,Sexta,17.6,2227.3,102.1,8.0,589.29
Residencial,Domingo,32.3,69.9,2.3,,34.73
Industrial,Domingo,36.7,3508.6,142.2,8.0,760.43
Residencial,Quarta,29.6,187.9,4.5,18.0,39.42
Industrial,Quinta,31.7,1042.5,182.4,2.0,624.36
Industrial,Quarta,15.3,2399.2,73.1,10.0,580.32
Residencial,Sexta,28.3,66.1,2.5,12.0,30.88
Industrial,Quarta,30.0,4305.2,144.6,9.0,
Residencial,Domingo,30.5,98.6,3.2,16.0,
Comercial,Domingo,33.9,700.3,74.2,9.0,208.5
Comercial,Segunda,22.3,507.5,36.0,12.0,
Comercial,Quarta,23.6,216.8,40.1,4.0,132.04
Industrial,Domingo,35.5,2056.4,,1.0,632.48
Comercial,Sabado,22.8,150.2,38.7,7.0,125.93
Residencial,Quinta,30.6,144.8,,5.0,
Residencial,Sabado,30.8,79.7,3.9,2.0,35.6
Industrial,Sabado,26.6,4838.1,,2.0,734.31
Comercial,Sexta,18.7,116.3,62.9,10.0,1525.24
Industrial,Domingo,21.7,4550.4,40.9,19.0,674.04
Comercial,Quinta,28.9,,78.9,6.0,195.77
Comercial,Domingo,37.1,372.6,37.0,7.0,167.31
Industrial,Sexta,27.7,2937.7,157.1,17.0,704.07
Comercial,Quarta,25.1,311.6,28.2,5.0,
Residencial,Domingo,,195.3,4.2,8.0,27.73
Residencial,Quarta,,79.5,3.8,13.0,29.22
Comercial,Terca,37.9,,53.6,12.0,
Comercial,Sexta,29.3,240.9,37.7,2.0,155.54
