@RELATION dataset_consumo_energia

@ATTRIBUTE Setor_Atividade {Residencial,Comercial,Industrial}
@ATTRIBUTE Dia_da_Semana {Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo}
@ATTRIBUTE Temperatura_Media NUMERIC
@ATTRIBUTE Area_Metragem NUMERIC
@ATTRIBUTE Ocupantes_Ativos NUMERIC
@ATTRIBUTE Num_Extintores NUMERIC
@ATTRIBUTE Consumo_Energia NUMERIC

@DATA
Comercial,Sexta,22.8,280.7,73,7,663.2
Residencial,Quinta,22.4,151.9,3,17,259.1
Comercial,Segunda,24.4,327.6,19,10,457.3
Industrial,Domingo,29.9,3980.6,168,11,3028.8
Industrial,Sexta,21.4,1088.9,147,9,2127.8
Residencial,Domingo,22.6,195.8,4,9,326.7
Industrial,Segunda,19.0,2542.1,174,5,2492.9
Industrial,Quarta,24.9,1562.2,85,?,1683.7
Comercial,Segunda,20.4,151.4,50,9,533.9
Residencial,Sabado,20.4,83.8,6,17,268.3
Comercial,Segunda,24.7,463.8,18,19,571.9
Comercial,Segunda,27.2,335.9,45,7,577.7
Comercial,Sabado,15.0,680.2,67,9,819.5
Comercial,Quinta,23.8,401.6,63,7,8074.3
Comercial,Segunda,20.6,274.1,21,13,432.7
Comercial,Sabado,26.7,532.0,23,11,609.0
Comercial,Sexta,20.7,?,43,14,743.4
Residencial,Quarta,28.5,83.4,6,19,268.7
Industrial,Quarta,18.6,1254.3,140,11,1947.6
Comercial,Segunda,15.0,125.7,29,13,389.8
Comercial,Quinta,27.3,615.5,25,14,621.6
Comercial,Quinta,17.8,564.7,79,13,955.1
Comercial,Sexta,15.0,432.2,65,1,662.2
Comercial,Segunda,22.1,690.9,?,8,888.9
Comercial,Quarta,20.8,664.0,13,12,653.4
Industrial,Quinta,26.1,3134.1,130,19,2501.6
Industrial,Segunda,26.5,4407.2,144,12,2968.2
Comercial,Domingo,?,244.1,13,8,381.6
Industrial,Quinta,17.6,1003.6,39,8,1081.2
Residencial,Sabado,23.4,97.8,3,13,241.6
Comercial,Domingo,22.8,140.0,33,12,389.0
Residencial,Quinta,?,134.4,4,16,294.1
Residencial,Quarta,17.6,191.1,3,1,268.5
Comercial,Terca,20.0,127.5,46,13,481.2
Industrial,Domingo,24.5,1049.5,73,7,1381.1
Residencial,Sexta,?,123.3,6,5,309.9
Comercial,Sexta,26.8,753.7,47,8,760.2
Residencial,Quarta,22.4,104.3,5,14,265.2
Residencial,Quinta,19.6,131.0,5,13,302.8
Residencial,Segunda,24.0,65.8,2,15,173.9
Residencial,Quinta,16.5,80.8,6,17,246.0
Industrial,Quarta,17.9,4939.8,39,15,2198.2
Residencial,Sexta,29.5,195.1,2,?,307.5
Residencial,Quinta,24.0,60.7,5,18,227.8
Residencial,Sexta,20.3,193.3,6,18,3286.9
Industrial,Domingo,26.1,3376.0,33,2,1841.1
Residencial,Segunda,28.4,181.5,4,?,346.7
Residencial,Domingo,19.8,123.7,6,1,3542.0
Industrial,Sexta,19.9,2820.2,99,4,2204.1
Industrial,Sexta,19.2,2699.8,74,?,1765.9
Industrial,Terca,26.8,3500.9,151,5,2649.2
Residencial,Terca,26.9,79.6,3,19,223.6
Industrial,Domingo,28.9,?,177,15,2299.8
Industrial,Sabado,27.0,1885.7,101,8,1932.5
Residencial,Domingo,?,158.7,4,20,268.7
Industrial,Terca,23.4,1408.3,?,17,2353.4
Residencial,Sexta,16.7,154.3,5,1,269.8
Comercial,Quarta,19.4,778.9,69,12,954.7
Industrial,Domingo,22.9,922.6,166,?,2202.3
Comercial,Sexta,26.2,570.8,58,15,770.2
Residencial,Quarta,17.5,122.1,4,?,242.8
Industrial,Quarta,15.0,4406.6,?,7,3180.7
Residencial,Terca,22.9,84.8,6,2,254.0
Comercial,Domingo,35.2,584.8,39,9,724.6
Residencial,Quinta,?,177.3,3,10,314.7
Industrial,Segunda,22.2,4750.8,136,2,2977.0
Industrial,Terca,30.9,3574.6,178,19,2986.4
Comercial,Terca,25.0,448.0,73,11,772.2
Residencial,Quinta,23.1,146.5,4,13,289.8
Industrial,Segunda,24.2,4410.1,195,10,3363.3
Comercial,Sexta,23.3,499.4,54,14,700.1
Industrial,Sabado,16.3,636.7,113,18,1670.0
Industrial,Domingo,15.3,4689.3,132,19,3137.2
Residencial,Sabado,31.4,?,2,9,265.8
Industrial,Sexta,22.9,3544.3,165,7,2618.3
Residencial,Terca,22.5,90.2,5,3,260.7
Industrial,Segunda,21.5,3465.0,132,20,2504.2
Comercial,Terca,25.9,375.7,56,6,706.4
Industrial,Quarta,34.7,3430.5,76,2,1983.9
Residencial,Terca,24.6,74.9,5,6,250.8
Residencial,Terca,19.1,152.1,6,3,287.4
Comercial,Sexta,?,799.6,42,16,837.2
Industrial,Sexta,27.4,717.0,164,8,2055.6
Industrial,Sexta,19.1,4897.3,23,2,2036.7
Comercial,Sabado,26.3,384.8,29,17,539.1
Industrial,Quarta,15.0,4418.4,66,?,2398.1
Industrial,Sexta,20.9,4020.7,162,12,3012.6
Residencial,Segunda,25.1,139.4,?,3,301.3
Industrial,Sabado,28.4,3823.0,94,11,2671.1
Industrial,Quinta,17.9,4453.3,122,1,2573.2
Comercial,Segunda,15.0,?,18,13,497.7
Comercial,Domingo,20.7,?,25,15,488.1
Residencial,Domingo,16.4,153.5,6,5,288.0
Industrial,Segunda,21.3,4135.3,80,17,2219.0
Industrial,Sexta,22.0,?,157,6,2907.3
Industrial,Quinta,15.4,4090.2,69,11,2349.6
Residencial,Quinta,26.0,121.0,4,18,263.1
Residencial,Sabado,21.2,174.5,6,4,352.8
Comercial,Quinta,27.4,184.1,79,3,652.2
Residencial,Domingo,15.0,136.2,2,13,224.8
Industrial,Quarta,16.9,525.9,128,9,1552.6
Industrial,Sexta,24.6,1960.6,70,6,1691.4
Residencial,Quinta,18.0,111.3,6,12,283.1
Industrial,Sabado,21.2,2282.8,166,2,2456.1
Industrial,Domingo,22.0,3629.6,189,3,2697.1
Residencial,Quarta,22.8,114.4,4,3,255.6
Residencial,Terca,18.6,122.8,3,12,241.6
Industrial,Terca,22.7,1568.9,88,15,1712.1
Industrial,Quarta,?,2179.6,112,9,2155.8
Industrial,Domingo,25.4,1522.7,83,8,1550.1
Comercial,Sabado,21.4,151.2,46,11,520.9
Comercial,Quarta,22.8,522.4,58,16,798.5
Comercial,Sexta,34.8,567.7,30,?,612.5
Residencial,Sexta,16.5,146.7,3,1,255.4
Comercial,Terca,28.9,424.4,?,7,777.8
Residencial,Quinta,15.0,113.2,6,2,265.5
Residencial,Sabado,15.0,180.9,5,5,311.0
Comercial,Terca,15.8,463.4,79,7,788.4
Comercial,Quinta,16.1,435.4,13,4,449.3
Comercial,Quinta,23.0,117.9,48,5,502.8
Industrial,Sexta,23.4,2035.6,182,1,2433.8
Comercial,Domingo,?,366.1,10,1,405.9
Industrial,Segunda,21.3,2294.7,43,?,1580.8
Residencial,Domingo,24.6,141.2,2,20,233.9
Industrial,Segunda,26.2,2901.2,119,19,2421.4
Comercial,Quarta,15.4,525.5,79,10,857.3
Residencial,Sexta,20.2,167.1,2,18,237.6
Residencial,Quinta,21.7,173.8,5,3,302.8
Residencial,Sabado,24.4,160.5,5,11,326.6
Industrial,Segunda,18.1,4799.9,76,15,2404.4
Comercial,Domingo,21.6,112.8,40,11,444.6
Residencial,Quinta,22.1,87.4,5,17,250.8
Residencial,Segunda,?,61.1,2,17,178.6
Residencial,Segunda,18.4,150.6,5,6,284.7
Industrial,Segunda,22.5,4541.1,177,5,3182.8
Industrial,Sabado,21.3,1595.7,171,8,2509.9
Comercial,Sexta,24.5,748.9,39,2,844.5
Industrial,Sabado,16.7,771.2,105,16,1620.5
Residencial,Terca,20.2,190.8,5,20,325.4
Comercial,Quinta,20.9,346.1,16,12,431.6
Residencial,Sexta,26.1,74.2,4,6,218.1
Residencial,Sexta,17.3,128.0,5,1,275.0
Industrial,Sexta,23.2,1655.5,33,4,1293.1
Comercial,Domingo,23.3,299.4,19,?,480.0
Industrial,Sexta,30.2,1882.8,99,13,1959.6
Industrial,Sabado,17.0,4113.6,?,18,2786.6
Comercial,Sexta,18.7,477.4,63,5,782.9
Residencial,Quarta,17.3,103.6,3,3,207.6
Residencial,Quinta,15.0,145.4,?,11,227.9
Comercial,Sexta,30.8,601.3,79,13,933.6
Residencial,Quinta,15.8,98.2,5,4,265.2
Comercial,Quarta,17.9,389.5,?,14,753.9
Comercial,Quarta,28.6,185.3,65,11,656.8
Industrial,Quinta,15.0,1315.2,126,10,1850.5
Comercial,Segunda,25.8,576.8,66,19,852.0
Industrial,Terca,15.0,1316.5,40,18,1232.3
Residencial,Domingo,28.2,133.5,5,6,289.5
Residencial,Segunda,15.0,159.3,3,15,281.6
Residencial,Segunda,15.0,75.0,2,10,178.0
Residencial,Sabado,19.3,139.4,?,5,272.7
Industrial,Domingo,26.9,1654.5,26,5,1269.8
Residencial,Domingo,21.8,194.8,3,10,306.8
Comercial,Segunda,?,438.5,41,5,645.1
Comercial,Sexta,28.7,664.2,29,3,675.7
Comercial,Sabado,32.8,485.2,24,6,578.4
Industrial,Sabado,25.4,695.4,195,4,2159.9
Residencial,Quarta,18.9,148.6,6,18,309.3
Residencial,Domingo,19.9,193.2,3,9,306.9
Residencial,Segunda,15.6,144.2,3,17,253.2
Industrial,Quarta,22.5,4186.3,139,13,3110.7
Comercial,Quinta,15.0,718.9,23,15,653.3
Comercial,Terca,?,?,66,20,690.6
Residencial,Sabado,?,89.7,6,17,266.4
Comercial,Quinta,25.6,527.7,67,13,794.0
Comercial,Quinta,19.7,387.7,?,16,555.6
Industrial,Sexta,24.6,4279.4,101,4,2715.4
Industrial,Terca,30.1,4550.1,88,5,2571.2
Industrial,Quinta,29.9,2090.4,150,5,2358.1
Industrial,Quinta,17.0,1565.9,?,9,1656.7
Residencial,Terca,24.6,169.3,3,?,280.5
Industrial,Terca,21.2,?,184,13,2599.8
Comercial,Quinta,26.0,675.8,58,2,864.1
Residencial,Terca,23.9,119.3,4,13,265.7
Comercial,Quinta,15.0,567.3,21,19,569.1
Comercial,Quinta,20.3,166.9,70,3,628.6
Comercial,Sexta,23.0,536.7,50,10,697.5
Industrial,Segunda,15.0,2533.0,180,2,2758.0
Industrial,Quinta,24.9,3139.7,197,13,3096.2
Residencial,Quarta,15.0,83.5,6,19,248.8
Residencial,Sabado,18.0,163.2,5,17,289.7
Industrial,Domingo,28.7,4382.6,146,14,2691.5
Comercial,Segunda,17.6,251.7,80,12,751.7
Residencial,Segunda,24.9,73.4,2,12,189.9
Industrial,Segunda,15.0,606.4,100,?,1384.5
Industrial,Sexta,32.4,3388.9,171,7,3038.5
Industrial,Quinta,20.5,?,80,4,2060.9
Comercial,Sexta,22.5,?,70,19,834.9
Industrial,Quinta,22.9,1543.8,117,1,1962.4
Industrial,Sexta,25.0,2259.1,?,3,1622.3
Industrial,Sexta,15.0,3175.1,?,13,1782.8
Industrial,Sabado,22.0,2735.5,188,15,2995.8
Residencial,Quarta,18.7,198.3,2,2,285.7
Residencial,Sexta,15.0,79.1,2,11,176.0
Industrial,Sabado,?,3628.2,117,4,2567.2
Comercial,Terca,20.2,383.0,79,19,711.7
Residencial,Quarta,23.2,119.9,3,17,248.3
Industrial,Sexta,22.9,3729.2,84,3,2177.1
Residencial,Domingo,20.3,156.9,3,?,249.1
Residencial,Segunda,31.9,198.8,6,8,340.8
Comercial,Terca,21.8,189.9,14,19,384.6
Industrial,Terca,15.0,968.5,21,5,894.5
Industrial,Sabado,20.0,?,41,7,2095.1
Comercial,Terca,24.5,504.9,?,8,768.8
Comercial,Quarta,24.7,?,75,5,666.8
Industrial,Sexta,16.6,857.4,93,17,1391.9
Industrial,Sexta,26.6,885.5,117,5,1831.2
Comercial,Domingo,15.0,725.9,25,4,661.8
Residencial,Segunda,27.7,86.9,4,19,234.3
Residencial,Sabado,15.4,?,6,2,263.1
Comercial,Segunda,20.9,258.7,48,11,580.3
Residencial,Terca,27.3,109.7,5,13,288.6
Comercial,Domingo,22.6,148.6,49,15,558.8
Residencial,Segunda,26.1,132.7,5,12,284.2
Residencial,Quarta,25.1,69.5,4,11,207.1
Industrial,Sexta,28.4,4101.6,157,7,2956.1
Industrial,Terca,27.3,1551.7,118,5,1961.2
Residencial,Domingo,19.7,135.6,4,17,251.2
Residencial,Segunda,25.2,183.2,2,20,269.4
Industrial,Sabado,15.0,3428.9,51,9,1934.4
Industrial,Quarta,21.7,2898.3,154,14,2593.7
Industrial,Quarta,26.1,1959.5,40,12,1430.7
Comercial,Segunda,22.7,333.1,29,6,494.2
Residencial,Sexta,24.2,153.7,3,17,269.2
Industrial,Segunda,20.9,4973.6,146,19,3008.8
Residencial,Terca,27.6,152.7,5,19,322.1
Comercial,Segunda,21.6,490.4,24,16,593.2
Comercial,Quarta,19.7,?,23,12,557.2
Industrial,Domingo,26.4,2593.4,174,12,2566.9
Comercial,Segunda,15.0,142.1,49,20,458.0
Residencial,Sexta,24.5,138.7,3,6,252.5
Industrial,Domingo,16.8,4809.3,47,4,2283.2
Residencial,Sabado,28.4,84.5,3,6,209.1
Residencial,Quinta,20.7,156.6,2,11,241.0
Comercial,Segunda,22.7,240.7,72,1,648.2
Comercial,Sexta,24.1,475.1,75,15,827.3
Comercial,Domingo,15.0,167.7,34,11,434.4
Comercial,Sexta,18.7,415.3,12,19,441.2
Comercial,Sabado,27.2,629.3,53,18,802.3
Industrial,Quarta,26.3,2064.1,116,17,2012.2
Residencial,Sexta,23.4,153.1,3,19,266.6
Residencial,Domingo,15.3,171.4,5,14,323.7
Residencial,Sexta,24.9,189.8,4,18,338.9
Residencial,Sexta,25.6,92.8,5,19,239.8
Comercial,Sexta,22.2,379.5,32,15,573.2
Residencial,Terca,28.1,81.3,2,15,215.6
Industrial,Terca,18.6,4966.2,142,4,2930.4
Industrial,Quarta,19.5,4671.5,197,7,3606.8
Residencial,Segunda,15.0,135.6,4,13,274.0
Residencial,Sexta,26.6,177.9,4,3,294.0
Industrial,Sabado,23.6,2844.3,70,16,1833.2
Industrial,Segunda,15.0,3306.1,30,9,1783.2
Comercial,Sabado,15.0,162.4,21,8,370.2
Industrial,Segunda,17.6,3898.7,93,20,2457.6
Comercial,Quarta,26.0,189.4,?,?,398.4
Comercial,Sexta,20.5,678.2,33,17,713.3
Comercial,Sexta,18.0,647.4,50,17,711.2
Comercial,Quinta,17.0,596.1,45,?,745.1
Comercial,Sabado,16.7,125.3,64,1,599.9
Residencial,Segunda,15.0,102.4,2,8,195.6
Industrial,Segunda,16.0,1684.0,66,19,1499.9
Comercial,Terca,16.6,352.1,24,6,443.1
Industrial,Quinta,25.4,894.4,195,3,2405.6
Industrial,Domingo,21.2,4716.3,123,5,2977.7
Comercial,Domingo,17.9,487.7,51,13,684.4
Residencial,Terca,33.5,102.8,5,15,296.0
Comercial,Terca,18.7,?,79,14,761.1
Residencial,Terca,27.8,122.6,5,16,292.7
Industrial,Sabado,30.1,3202.7,149,18,2556.0
Residencial,Sabado,15.0,132.2,4,11,251.5
Residencial,Quarta,22.4,188.7,6,3,338.8
Residencial,Quarta,19.4,129.6,4,10,261.4
Industrial,Terca,19.0,4964.7,46,10,2299.1
Industrial,Quinta,24.8,4331.4,133,16,2858.5
Residencial,Segunda,18.9,89.2,4,12,234.5
Residencial,Sabado,19.5,190.3,2,2,271.2
Comercial,Quinta,21.2,181.5,10,9,311.2
Residencial,Sexta,20.1,174.4,6,3,354.2
Comercial,Sabado,16.1,366.4,41,15,609.9
Residencial,Sabado,26.0,182.9,5,3,308.0
Comercial,Quarta,27.2,707.6,57,19,883.9
Industrial,Segunda,23.7,4126.7,126,18,2685.2
Residencial,Segunda,20.1,170.6,6,8,326.9
Residencial,Domingo,18.5,102.7,5,17,253.8
Residencial,Domingo,18.5,71.3,4,8,207.6
Residencial,Domingo,33.8,116.4,2,7,237.1
Comercial,Domingo,26.7,221.5,21,7,415.0
Residencial,Sexta,17.8,157.3,4,3,264.7
Industrial,Sexta,22.8,?,65,1,1573.0
Industrial,Sabado,20.2,4890.2,138,4,3051.8
Residencial,Terca,24.9,149.7,2,5,246.4
Industrial,Quarta,24.7,4201.2,82,1,2512.7
Residencial,Quarta,27.4,78.6,?,15,283.3
Residencial,Domingo,17.7,180.7,6,5,316.5
Industrial,Sabado,?,4652.4,40,13,2244.8
Residencial,Quinta,15.0,128.2,6,8,285.5
Industrial,Terca,15.7,3228.1,181,8,2953.0
Comercial,Sabado,26.4,635.4,13,5,598.2
Residencial,Terca,17.2,84.5,5,9,241.7
Comercial,Terca,17.8,451.8,68,1,771.5
Industrial,Terca,22.0,2294.0,147,4,2217.9
Comercial,Sabado,25.5,202.5,36,3,513.1
Comercial,Domingo,16.7,357.3,78,2,786.1
Industrial,Quarta,15.0,806.8,44,?,1018.6
Comercial,Quarta,17.6,118.1,12,9,306.4
Comercial,Domingo,28.0,194.6,77,?,724.2
Industrial,Terca,23.7,4834.0,44,14,2286.5
Comercial,Quinta,28.6,484.7,29,14,639.7
Industrial,Segunda,16.3,4846.2,181,4,3772.1
Comercial,Sabado,15.0,402.7,35,6,533.5
Industrial,Segunda,24.3,1903.2,145,11,2087.6
Industrial,Domingo,23.2,2777.6,152,3,2594.1
Comercial,Quinta,23.5,407.7,70,8,785.7
Comercial,Sabado,26.7,174.0,18,3,386.6
Comercial,Domingo,24.1,548.6,59,14,7679.1
Residencial,Terca,24.0,90.2,4,13,220.4
Residencial,Quarta,25.6,146.7,5,13,309.9
Residencial,Segunda,24.5,151.0,5,2,291.7
Industrial,Sexta,26.3,?,140,13,2168.4
Comercial,Sexta,27.0,142.9,20,19,425.0
Industrial,Quinta,29.7,4013.4,194,6,3168.2
Residencial,Terca,18.8,124.4,5,16,260.8
Comercial,Segunda,24.4,140.7,12,2,352.1
Industrial,Terca,20.1,4976.9,?,8,23417.3
Comercial,Segunda,17.8,140.4,39,17,451.6
Industrial,Quinta,18.6,3627.7,40,2,1893.7
Comercial,Quinta,24.5,788.6,37,10,711.3
Residencial,Sexta,24.1,93.5,3,16,223.8
Residencial,Terca,24.0,79.9,2,6,191.1
Comercial,Sabado,20.9,185.0,44,2,496.6
Industrial,Sexta,22.0,?,199,2,2842.8
Residencial,Terca,26.1,74.1,3,13,199.1
Residencial,Sexta,15.0,156.9,2,15,251.3
Residencial,Sabado,22.1,68.7,4,2,212.2
Comercial,Quarta,?,456.6,56,?,699.6
Comercial,Quarta,25.8,797.7,67,3,982.6
Industrial,Quarta,?,4162.9,94,8,2508.8
Industrial,Quarta,29.5,3268.5,42,14,1906.9
Industrial,Domingo,23.1,1878.1,195,7,2756.2
Comercial,Segunda,23.3,536.7,31,7,616.9
Comercial,Domingo,20.0,468.9,26,1,9106.1
Industrial,Domingo,24.7,2417.4,88,17,27249.5
Industrial,Domingo,22.2,1088.2,127,?,1767.4
Comercial,Quarta,28.0,720.6,20,13,778.3
Industrial,Sabado,15.0,2524.0,113,19,2258.5
Residencial,Quinta,22.9,87.2,4,19,215.9
Comercial,Quinta,24.0,357.4,44,17,564.7
Industrial,Segunda,21.1,2363.6,52,10,1659.6
Comercial,Quarta,20.0,679.3,25,10,676.7
Residencial,Quarta,20.2,162.7,?,4,279.0
Comercial,Quarta,22.9,638.5,75,8,885.5
Comercial,Sexta,15.0,107.7,49,20,474.9
Comercial,Terca,?,391.3,37,20,604.8
Comercial,Sexta,19.6,436.9,56,18,694.2
Residencial,Terca,22.6,62.7,?,14,161.2
Comercial,Quarta,23.8,281.9,29,?,485.7
Comercial,Quarta,19.4,632.2,10,14,534.5
Industrial,Sexta,?,1117.0,106,20,1694.3
Comercial,Sexta,15.0,474.7,72,15,892.2
Industrial,Terca,25.7,1468.4,86,?,1677.3
Residencial,Quinta,27.4,61.7,5,13,231.5
Residencial,Terca,15.0,93.8,3,8,215.5
Residencial,Sexta,20.0,196.6,2,18,290.1
Residencial,Sabado,15.9,172.2,6,12,322.2
Industrial,Sexta,21.1,4818.1,76,14,2626.3
Comercial,Sabado,25.2,441.5,62,2,816.5
Residencial,Segunda,26.9,75.4,5,18,231.3
Comercial,Sexta,27.6,483.6,23,2,587.2
Industrial,Segunda,28.6,2544.7,164,11,2487.6
Industrial,Quinta,20.9,?,58,9,2310.8
Industrial,Terca,16.3,941.4,156,12,33234.0
Residencial,Sabado,21.4,128.4,4,17,256.1
Comercial,Terca,25.2,205.0,15,15,381.4
Comercial,Segunda,15.9,327.3,32,17,530.0
Comercial,Sabado,?,616.1,68,18,913.0
Industrial,Terca,?,2642.1,110,6,2058.4
Residencial,Sexta,21.0,112.6,3,17,233.7
Industrial,Quarta,?,2275.1,139,18,2195.8
Industrial,Segunda,18.7,2567.5,65,8,1662.1
Comercial,Terca,22.4,649.5,47,9,752.7
Industrial,Segunda,20.9,?,161,6,3088.4
Comercial,Domingo,26.8,768.7,71,5,1069.5
Residencial,Segunda,20.3,170.2,4,12,299.1
Comercial,Sabado,24.5,320.8,28,11,472.9
Residencial,Domingo,21.9,156.3,4,1,276.8
Comercial,Sabado,23.3,406.3,34,11,606.5
Industrial,Quarta,20.8,1646.0,187,19,2743.2
Industrial,Domingo,25.5,4283.9,107,9,2447.8
Residencial,Sexta,25.6,65.4,3,2,185.3
Residencial,Segunda,24.3,186.2,2,12,310.1
Residencial,Terca,25.0,124.6,4,4,270.9
Comercial,Quinta,17.3,546.0,60,?,726.0
Comercial,Segunda,?,561.5,12,18,560.1
Residencial,Segunda,28.2,185.3,3,15,265.4
Industrial,Quarta,24.5,3365.0,38,19,1826.3
Comercial,Sexta,16.8,529.8,37,13,644.7
Comercial,Quinta,21.8,146.7,54,19,567.8
Comercial,Domingo,23.9,462.9,?,?,794.7
Residencial,Domingo,18.2,81.0,?,6,188.0
Residencial,Domingo,15.2,163.2,4,16,264.1
Residencial,Sabado,20.4,?,5,12,280.7
Residencial,Sabado,18.3,155.2,2,19,235.7
Residencial,Terca,21.9,65.8,5,5,222.8
Industrial,Quinta,15.0,881.6,38,17,982.0
Industrial,Domingo,24.8,3723.5,194,1,3286.7
Residencial,Sabado,18.8,70.1,5,10,234.3
Comercial,Terca,27.0,149.9,23,15,400.2
Residencial,Sexta,20.6,61.7,6,11,237.0
Industrial,Terca,21.9,4804.3,80,13,2393.9
Industrial,Sabado,21.1,3818.8,183,5,3058.6
Comercial,Quarta,18.6,347.3,49,1,606.9
Industrial,Quarta,34.4,1834.4,49,12,1701.4
Residencial,Domingo,19.5,109.0,2,11,200.4
Comercial,Quarta,27.1,642.3,73,?,967.4
Residencial,Domingo,16.5,152.6,2,4,253.1
Residencial,Domingo,23.9,85.9,5,15,251.0
Comercial,Sabado,24.4,221.9,23,9,471.2
Residencial,Quarta,21.9,?,4,20,222.9
Industrial,Domingo,19.1,3471.4,72,19,2143.8
Residencial,Quinta,20.7,167.0,4,19,290.2
Comercial,Sexta,20.0,285.5,68,12,718.2
Comercial,Terca,34.0,114.7,50,5,573.1
Comercial,Terca,?,157.5,77,10,642.7
Residencial,Sabado,24.6,195.5,4,17,300.4
Comercial,Quarta,30.9,306.8,77,5,757.3
Comercial,Quarta,17.6,638.5,17,16,567.4
Residencial,Domingo,22.2,147.5,3,7,262.6
Industrial,Segunda,20.7,2218.7,124,9,2284.2
Residencial,Domingo,21.6,88.8,6,3,254.3
Comercial,Sexta,21.1,?,50,15,538.6
Comercial,Quinta,18.3,530.5,64,16,776.4
Residencial,Terca,23.0,168.4,6,18,340.6
Industrial,Domingo,16.7,3397.6,81,14,1900.3
Comercial,Segunda,26.9,471.2,57,3,713.0
Comercial,Segunda,25.1,129.4,39,12,474.0
Comercial,Domingo,19.5,777.9,21,9,727.6
Residencial,Sabado,19.8,171.8,4,7,285.8
Comercial,Terca,23.4,305.0,20,9,413.8
Industrial,Sabado,18.0,4909.9,83,13,2698.1
Comercial,Quinta,31.1,521.3,59,18,758.1
Comercial,Segunda,23.8,507.7,30,5,573.0
Industrial,Segunda,24.0,3866.3,88,13,2299.8
Comercial,Sexta,25.4,668.2,57,4,821.6
Residencial,Quinta,19.1,151.9,5,2,281.9
Residencial,Segunda,27.4,77.9,6,16,234.1
Residencial,Quinta,22.6,107.4,4,9,258.2
Industrial,Terca,26.8,4676.4,191,9,3675.1
Comercial,Quarta,21.0,257.2,42,6,553.0
Residencial,Segunda,28.6,112.1,6,11,4094.8
Industrial,Sexta,24.0,2444.3,156,1,2466.2
Comercial,Terca,32.9,407.6,77,4,821.2
Industrial,Domingo,?,3258.2,54,?,34980.1
Residencial,Quinta,23.0,192.0,2,13,295.1
